channel	date	value	match
ABC	6/10/06	3445	TRINIDAD/TOBAGO VS SWEDEN
ABC	6/10/06	3082	ENGLAND VS PARAGUAY
ABC	6/17/06	6733	ITALY VS USA
ABC	6/18/06	2433	JAPAN VS CROATIA
ABC	7/1/06	4902	ENGLAND VS PORTUGAL
ABC	7/9/06	11961	ITALY VS FRANCE
ABC	6/11/06	3335	MEXICO VS IRAN
ABC	6/17/06	2808	CZECH REPUBLIC VS GHANA
ABC	6/18/06	4507	BRAZIL VS AUSTRALIA
ABC	6/18/06	3387	FRANCE VS SOUTH KOREA
ABC	6/24/06	3046	GERMANY VS SWEDEN
ABC	6/25/06	3973	ENGLAND VS ECUADOR
Univision	6/9/06	2154	GERMANY VS COSTA RICA
Univision	6/12/06	1944	USA VS CZECH REPUBLIC
Univision	6/12/06	1960	ITALY VS GHANA
Univision	6/13/06	1339	KOREA REPUBLIC VS TOGO
Univision	6/13/06	1751	FRANCE VS SWITZERLAND
Univision	6/13/06	3102	BRAZIL VS CROATIA
Univision	6/14/06	1140	SPAIN VS UKRAINE
Univision	6/14/06	1210	TUNEZ VS SAUDI ARABIA
Univision	6/14/06	1852	GERMANY VS POLAND
Univision	6/15/06	1600	ECUADOR VS COSTA RICA
Univision	6/15/06	1653	ENGLAND VS TRINIDAD-TOBAGO
Univision	6/9/06	1895	POLAND VS ECUADOR
Univision	6/15/06	1815	SWEDEN VS PARAGUAY
Univision	6/16/06	1563	ARGENTINA VS SERBIA & MONTNGRO
Univision	6/16/06	1600	PAISE BAJOS VS IVORY COAST
Univision	6/16/06	4062	MEXICO VS ANGOLA
Univision	6/17/06	1334	PORTUGAL VS IRAN
Univision	6/17/06	2086	CZECH REPUBLIC VS GHANA
Univision	6/17/06	3027	ITALY VS USA
Univision	6/18/06	1392	JAPAN VS CROATIA
Univision	6/18/06	3760	BRAZIL VS AUSTRALIA
Univision	6/18/06	2244	FRANCE VS KOREA REPUBLIC
Univision	6/10/06	1361	ENGLAND VS PARAGUAY
Univision	6/19/06	869	TOGO VS SWITZERLAND
Univision	6/19/06	1290	SAUDI ARABIA VS UKRAINE
Univision	6/19/06	1818	SPAIN VS TUNEZ
Univision	6/20/06	1516	ECUADOR VS GERMANY
Univision	6/20/06	1584	SWEDEN VS ENGLAND
Univision	6/21/06	3111	PORTUGAL VS MEXICO
Univision	6/21/06	1911	NETHERLANDS VS ARGENTINA
Univision	6/10/06	2188	TRINIDAD-TOBAGO VS SWEDEN
Univision	6/22/06	1663	GHANA VS USA
Univision	6/22/06	2561	JAPAN VS BRAZIL
Univision	6/23/06	1264	SAUDI ARABIA VS SPAIN
Univision	6/23/06	1506	TOGO VS FRANCE
Univision	6/24/06	2193	GERMANY VS SWEDEN
Univision	6/10/06	2979	ARGENTINA VS IVORY COAST
Univision	6/24/06	6665	ARGENTINA VS MEXICO
Univision	6/25/06	2611	ENGLAND VS ECUADOR
Univision	6/25/06	2569	PORTUGAL VS NETHERLANDS
Univision	6/26/06	1422	ITALY VS AUSTRALIA
Univision	6/26/06	1652	SWITZERLAND VS UKRAINE
Univision	6/27/06	2239	BRAZIL VS GHANA
Univision	6/27/06	2037	SPAIN VS FRANCE
Univision	6/30/06	2708	GERMANY VS ARGENTINA
Univision	6/30/06	1903	ITALY VS UKRAINE
Univision	7/1/06	2466	ENGLAND VS PORTUGAL
Univision	6/11/06	1414	SERBIA & MONTNGRO VS NETHERLANDS
Univision	7/1/06	4302	BRAZIL VS FRANCE
Univision	7/4/06	3658	GERMANY VS ITALY
Univision	7/5/06	2498	PORTUGAL VS FRANCE
Univision	7/8/06	2427	GERMANY VS PORTUGAL
Univision	7/9/06	5041	ITALY VS FRANCE
Univision	6/11/06	5279	MEXICO VS IRAN
Univision	6/11/06	3157	ANGOLA VS PORTUGAL
Univision	6/12/06	994	AUSTRALIA VS JAPAN
ESPN/ESPN2	6/15/06	1579	SWEDEN VS PARAGUAY
ESPN/ESPN2	6/16/06	1484	MEXICO VS ANGOLA
ESPN/ESPN2	6/20/06	932	ECUADOR VS GERMANY
ESPN/ESPN2	6/20/06	1728	SWEDEN VS ENGLAND
ESPN/ESPN2	6/21/06	1196	PORTUGAL VS MEXICO
ESPN/ESPN2	6/21/06	1349	NETHERLANDS VS ARGENTINA
ESPN/ESPN2	6/22/06	3819	GHANA VS USA
ESPN/ESPN2	6/22/06	1556	JAPAN VS BRAZIL
ESPN/ESPN2	6/23/06	667	SAUDI ARABIA VS SPAIN
ESPN/ESPN2	6/23/06	846	TOGO VS FRANCE
ESPN/ESPN2	6/24/06	3096	ARGENTINA VS MEXICO
ESPN/ESPN2	6/25/06	2754	PORTUGAL VS NETHERLANDS
ESPN/ESPN2	6/26/06	1742	ITALY VS AUSTRALIA
ESPN/ESPN2	6/26/06	2116	SWITZERLAND VS UKRAINE
ESPN/ESPN2	6/27/06	2159	BRAZIL VS GHANA
ESPN/ESPN2	6/27/06	1941	SPAIN VS FRANCE
ESPN/ESPN2	6/30/06	2365	GERMANY VS ARGENTINA
ESPN/ESPN2	7/1/06	3815	BRAZIL VS FRANCE
ESPN/ESPN2	7/4/06	5850	GERMANY VS ITALY
ESPN/ESPN2	7/5/06	3137	PORTUGAL VS FRANCE
ESPN/ESPN2	7/8/06	2885	GERMANY VS PORTUGAL
ESPN/ESPN2	6/9/06	1355	GERMANY VS COSTA RICA
ESPN/ESPN2	6/9/06	1718	POLAND VS ECUADOR
ESPN/ESPN2	6/10/06	2354	ARGENTINA VS IVORY COAST
ESPN/ESPN2	6/11/06	1223	SERBIA-MONT VS NETHERLANDS
ESPN/ESPN2	6/11/06	2037	ANGOLA VS PORTUGAL
ESPN/ESPN2	6/12/06	774	AUSTRALIA VS JAPAN
ESPN/ESPN2	6/12/06	2755	USA VS CZECH REPUBLIC
ESPN/ESPN2	6/12/06	1757	ITALY VS GHANA
ESPN/ESPN2	6/13/06	742	SOUTH KOREA VS TOGO
ESPN/ESPN2	6/13/06	1335	FRANCE VS SWITZERLAND
ESPN/ESPN2	6/13/06	2376	BRAZIL VS CROATIA
ESPN/ESPN2	6/14/06	685	SPAIN VS UKRAINE
ESPN/ESPN2	6/14/06	1001	TUNISIA VS SAUDI ARABIA
ESPN/ESPN2	6/14/06	1751	GERMANY VS POLAND
ESPN/ESPN2	6/15/06	714	ECUADOR VS COSTA RICA
ESPN/ESPN2	6/15/06	1716	ENGLAND VS TRINIDAD & TOBAGO
ESPN/ESPN2	6/16/06	782	ARGENTINA VS SERBIA-MONTE.
ESPN/ESPN2	6/16/06	1354	NETHERLANDS VS IVORY COAST
ESPN/ESPN2	6/17/06	1330	PORTUGAL VS IRAN
ESPN/ESPN2	6/19/06	599	TOGO VS SWITZERLAND
ESPN/ESPN2	6/19/06	908	SAUDI ARABIA VS UKRAINE
ESPN/ESPN2	6/19/06	1392	SPAIN VS TUNISIA
ESPN/ESPN2	6/20/06	291	COSTA RICA VS POLAND
ESPN/ESPN2	6/20/06	377	PARAGUAY VS TRINIDAD
ESPN/ESPN2	6/21/06	294	IRAN VS ANGOLA
ESPN/ESPN2	6/21/06	380	IVORY COAST VS SERBIA
ESPN/ESPN2	6/22/06	256	CZECH REPUBLIC VS ITALY
ESPN/ESPN2	6/22/06	449	CROATIA VS AUSTRALIA
ESPN/ESPN2	6/23/06	386	UKRAINE VS TUNISIA
ESPN/ESPN2	6/23/06	580	SWITZERLAND VS SOUTH KOREA
ESPN/ESPN2	6/30/06	1688	ITALY VS UKRAINE
ABC	6/12/10	10811	USA VS ENGLAND
ABC	6/13/10	4305	GERMANY VS AUSTRALIA
ABC	6/19/10	3229	CAMEROON VS DENMARK
ABC	6/20/10	4048	BRAZIL VS IVORY COAST
ABC	6/26/10	13733	USA VS GHANA
ABC	6/27/10	4956	ARGENTINA VS MEXICO
ABC	7/10/10	4755	URAGUAY VS GERMANY
ABC	7/11/10	13087	NETHERLANDS VS SPAIN
ABC	7/3/10	4936	PARAGUAY VS SPAIN
ABC	7/3/10	5031	ARGENTINA VS GERMANY
Univision	6/11/10	5567	SOUTH AFRICA VS MEXICO
Univision	6/11/10	2599	URUGUAY VS FRANCE
Univision	6/12/10	828	SOUTH KOREA VS GREECE
Univision	6/12/10	3059	ARGENTINA VS NIGERIA
Univision	6/12/10	3822	ENGLAND VS USA
Univision	6/13/10	679	ALGERIA VS SLOVENIA
Univision	6/13/10	2182	SERBIA VS GHANA
Univision	6/13/10	3090	GERMANY VS AUSTRALIA
Univision	6/14/10	887	HOLLAND VS DENMARK
Univision	6/14/10	1568	JAPAN VS CAMEROON
Univision	6/14/10	2239	ITALY VS PARAGUAY
Univision	6/15/10	686	NEW ZEALAND VS SLOVAKIA
Univision	6/15/10	1843	IVORY COAST VS PORTUGAL
Univision	6/15/10	2960	BRAZIL VS NORTH KOREA
Univision	6/16/10	1420	HONDURAS VS CHILE
Univision	6/16/10	2090	SPAIN VS SWITZERLAND
Univision	6/16/10	2379	SOUTH AFRICA VS URUGUAY
Univision	6/17/10	1319	ARGENTINA VS SOUTH KOREA
Univision	6/17/10	1684	GREECE VS NIGERIA
Univision	6/17/10	5499	FRANCE VS MEXICO
Univision	6/18/10	798	GERMANY VS SERBIA
Univision	6/18/10	2125	SLOVENIA VS USA
Univision	6/18/10	1752	ENGLAND VS ALGERIA
Univision	6/19/10	819	HOLLAND VS JAPAN
Univision	6/19/10	1868	GHANA VS AUSTRALIA
Univision	6/19/10	2107	CAMEROON VS DENMARK
Univision	6/20/10	847	SLOVAKIA VS PARAGUAY
Univision	6/20/10	2408	ITALY VS NEW ZEALAND
Univision	6/20/10	3689	BRAZIL VS IVORY COAST
Univision	6/21/10	925	PORTUGAL VS NORTH KOREA
Univision	6/21/10	1597	CHILE VS SWITZERLAND
Univision	6/21/10	2617	SPAIN VS HONDURAS
Univision	6/22/10	4548	MEXICO VS URUGUAY
Univision	6/22/10	2148	GREECE VS ARGENTINA
Univision	6/23/10	2232	USA VS ALGERIA
Univision	6/23/10	1692	GHANA VS GERMANY
Univision	6/24/10	1080	PARAGUAY VS NEW ZEALAND
Univision	6/24/10	1433	CAMEROON VS HOLLAND
Univision	6/25/10	2210	PORTUGAL VS BRAZIL
Univision	6/25/10	2276	CHILE VS SPAIN
Univision	6/26/10	2264	URUGUAY VS SOUTH KOREA
Univision	6/26/10	4203	USA VS GHANA
Univision	6/27/10	3205	GERMANY VS ENGLAND
Univision	6/27/10	8716	ARGENTINA VS MEXICO
Univision	6/28/10	1301	HOLLAND VS SLOVAKIA
Univision	6/28/10	2839	BRAZIL VS CHILE
Univision	6/29/10	1647	PARAGUAY VS JAPAN
Univision	6/29/10	2676	SPAIN VS PORTUGAL
Univision	7/2/10	2565	HOLLAND VS BRAZIL
Univision	7/2/10	3241	URUGUAY VS GHANA
Univision	7/3/10	3795	ARGENTINA VS GERMANY
Univision	7/3/10	3832	PARAGUAY VS SPAIN
Univision	7/6/10	3660	URUGUAY VS HOLLAND
Univision	7/7/10	3845	GERMANY VS SPAIN
Univision	7/10/10	4056	URUGUAY VS GERMANY
Univision	7/11/10	8299	HOLLAND VS SPAIN
ESPN/ESPN2	6/11/10	2599	SOUTH AFRICA VS MEXICO
ESPN/ESPN2	6/11/10	2724	URUGUAY VS FRANCE
ESPN/ESPN2	6/12/10	1755	KOREA REPUBLIC VS GREECE
ESPN/ESPN2	6/12/10	3376	ARGENTINA VS NIGERIA
ESPN/ESPN2	6/13/10	1366	ALGERIA VS SLOVENIA
ESPN/ESPN2	6/13/10	2767	SERBIA VS GHANA
ESPN/ESPN2	6/14/10	1187	NETHERLANDS VS DENMARK
ESPN/ESPN2	6/14/10	1621	JAPAN VS CAMEROON
ESPN/ESPN2	6/14/10	2804	ITALY VS PARAGUAY
ESPN/ESPN2	6/15/10	1021	NEW ZEALAND VS SLOVAKIA
ESPN/ESPN2	6/15/10	1924	IVORY COAST VS PORTUGAL
ESPN/ESPN2	6/15/10	2753	BRAZIL VS KOREA DPR
ESPN/ESPN2	6/16/10	1091	HONDURAS VS CHILE
ESPN/ESPN2	6/16/10	2078	SPAIN VS SWITZERLAND
ESPN/ESPN2	6/16/10	2093	SOUTH AFRICA VS URUGUAY
ESPN/ESPN2	6/17/10	1555	ARGENTINA VS KOREA REPUBLIC
ESPN/ESPN2	6/17/10	1668	GREECE VS NIGERIA
ESPN/ESPN2	6/18/10	1573	GERMANY VS SERBIA
ESPN/ESPN2	6/18/10	4682	SLOVENIA VS USA
ESPN/ESPN2	6/19/10	1519	NETHERLANDS VS JAPAN
ESPN/ESPN2	6/19/10	2776	GHANA VS AUSTRALIA
ESPN/ESPN2	6/20/10	1383	SLOVAKIA VS PARAGUAY
ESPN/ESPN2	6/20/10	3106	ITALY VS NEW ZEALAND
ESPN/ESPN2	6/21/10	1405	PORTUGAL VS KOREA DPR
ESPN/ESPN2	6/21/10	1741	CHILE VS SWITZERLAND
ESPN/ESPN2	6/21/10	1957	SPAIN VS HONDURAS
ESPN/ESPN2	6/22/10	1274	MEXICO VS URAGUAY
ESPN/ESPN2	6/22/10	1642	ARGENTINA VS GREECE
ESPN/ESPN2	6/23/10	5394	USA VS ALGERIA
ESPN/ESPN2	6/23/10	2310	GHANA VS GERMANY
ESPN/ESPN2	6/24/10	1664	SLOVAKIA VS ITALY
ESPN/ESPN2	6/24/10	1460	DENMARK VS JAPAN
ESPN/ESPN2	6/25/10	2166	PORTUGAL VS BRAZIL
ESPN/ESPN2	6/25/10	2032	CHILE VS SPAIN
ESPN/ESPN2	6/26/10	2881	URUGUAY VS SOUTH KOREA
ESPN/ESPN2	6/27/10	3756	GERMANY VS ENGLAND
ESPN/ESPN2	6/28/10	1601	NETHERLANDS VS SLOVAKIA
ESPN/ESPN2	6/28/10	2393	BRAZIL VS CHILE
ESPN/ESPN2	6/29/10	1946	PARAGUAY VS JAPAN
ESPN/ESPN2	6/29/10	2747	SPAIN VS PORTUGAL
ESPN/ESPN2	7/2/10	2856	NETHERLANDS VS BRAZIL
ESPN/ESPN2	7/2/10	2975	URUGUAY VS GHANA
ESPN/ESPN2	7/6/10	3335	URUGUAY VS NETHERLANDS
ESPN/ESPN2	7/7/10	3425	SPAIN VS GERMANY
ESPN/ESPN2	6/17/10	1969	FRANCE VS MEXICO
ESPN/ESPN2	6/18/10	2214	ENGLAND VS ALGERIA
ESPN/ESPN2	6/22/10	1004	FRANCE VS SOUTH AFRICA
ESPN/ESPN2	6/22/10	814	NIGERIA VS KOREA REPUBLIC
ESPN/ESPN2	6/23/10	469	SLOVENIA VS ENGLAND
ESPN/ESPN2	6/23/10	616	AUSTRALIA VS SERBIA
ESPN/ESPN2	6/24/10	335	PARAGUAY VS NEW ZEALAND
ESPN/ESPN2	6/24/10	928	CAMEROON VS NETHERLANDS
ESPN/ESPN2	6/25/10	390	NORTH KOREA VS IVORY COAST
ESPN/ESPN2	6/25/10	576	SWITZERLAND VS HONDURAS
ABC	6/14/14	3675	URUGUAY VS COSTA RICA
ABC	6/15/14	4354	FRANCE VS HONDURAS
ABC	6/22/14	4928	SOUTH KOREA VS ALGERIA
ABC	6/14/14	3288	COLOMBIA VS GREECE
ABC	6/15/14	3652	SWITZERLAND VS ECUADOR
ABC	6/22/14	3819	BELGIUM VS RUSSIA
ESPN/ESPN2	6/12/14	4040	BRAZIL VS CROATIA
ESPN/ESPN2	6/13/14	3103	SPAIN VS NETHERLANDS
ESPN/ESPN2	6/14/14	4114	ENGLAND VS ITALY
ESPN/ESPN2	6/14/14	3445	IVORY COAST VS JAPAN
ESPN/ESPN2	6/15/14	4204	ARGENTINA VS BOSNIA-HERZEGOVINA
ESPN/ESPN2	6/16/14	2372	GERMANY VS PORTUGAL
ESPN/ESPN2	6/16/14	2255	IRAN VS NIGERIA
ESPN/ESPN2	6/16/14	9722	GHANA VS USA
ESPN/ESPN2	6/17/14	1613	BELGIUM VS ALGERIA
ESPN/ESPN2	6/17/14	3847	BRAZIL VS MEXICO
ESPN/ESPN2	6/17/14	3259	RUSSIA VS KOREA REPUBLIC
ESPN/ESPN2	6/18/14	2293	AUSTRALIA VS NETHERLANDS
ESPN/ESPN2	6/18/14	3191	SPAIN VS CHILE
ESPN/ESPN2	6/18/14	3036	CAMEROON VS CROATIA
ESPN/ESPN2	6/19/14	1784	COLOMBIA VS IVORY COAST
ESPN/ESPN2	6/19/14	3139	URUGUAY VS ENGLAND
ESPN/ESPN2	6/19/14	3169	JAPAN VS GREECE
ESPN/ESPN2	6/20/14	2430	ITALY VS COSTA RICA
ESPN/ESPN2	6/20/14	2872	SWITZERLAND VS FRANCE
ESPN/ESPN2	6/20/14	2928	HONDURAS VS ECUADOR
ESPN/ESPN2	6/21/14	3555	ARGENTINA VS IRAN
ESPN/ESPN2	6/21/14	5281	GERMANY VS GHANA
ESPN/ESPN2	6/21/14	3836	NIGERIA VS BOSNIA-HERZEGOVINA
ESPN/ESPN2	6/22/14	13774	USA VS PORTUGAL
ESPN/ESPN2	6/23/14	1649	NETHERLANDS VS CHILE
ESPN/ESPN2	6/23/14	2294	CROATIA VS MEXICO
ESPN/ESPN2	6/24/14	1962	ITALY VS URUGUAY
ESPN/ESPN2	6/24/14	1804	JAPAN VS COLOMBIA
ESPN/ESPN2	6/25/14	2034	NIGERIA VS ARGENTINA
ESPN/ESPN2	6/25/14	2425	ECUADOR VS FRANCE
ESPN/ESPN2	6/26/14	8239	USA VS GERMANY
ESPN/ESPN2	6/26/14	2056	SOUTH KOREA VS BELGIUM
ESPN/ESPN2	6/13/14	1889	MEXICO VS CAMEROON
ESPN/ESPN2	6/13/14	1200	PRE-MATCH SHOW
ESPN/ESPN2	6/13/14	2526	CHILE VS AUSTRALIA
ESPN/ESPN2	6/23/14	545	AUSTRALIA VS SPAIN
ESPN/ESPN2	6/23/14	1164	CAMEROON VS BRAZIL
ESPN/ESPN2	6/24/14	675	COSTA RICA VS ENGLAND
ESPN/ESPN2	6/24/14	1114	GREECE VS IVORY COAST
ESPN/ESPN2	6/25/14	323	BOSNIA-HERZEGOVINA VS IRAN
ESPN/ESPN2	6/25/14	449	HONDURAS VS SWITZERLAND
ESPN/ESPN2	6/26/14	533	PORTUGAL VS GHANA
ESPN/ESPN2	6/26/14	710	ALGERIA VS RUSSIA
Univision	6/12/14	4716	BRAZIL VS CROATIA
Univision	6/13/14	4560	MEXICO VS CAMEROON
Univision	6/13/14	3119	SPAIN VS NETHERLANDS
Univision	6/13/14	2986	CHILE VS AUSTRALIA
Univision	6/14/14	2738	COLOMBIA VS GREECE
Univision	6/14/14	2935	IVORY COAST VS JAPAN
Univision	6/14/14	2981	URUGUAY VS COSTA RICA
Univision	6/14/14	3779	ENGLAND VS ITALY
Univision	6/15/14	2663	SWITZERLAND VS ECUADOR
Univision	6/15/14	3927	FRANCE VS HONDURAS
Univision	6/15/14	4616	ARGENTINA VS BOSNIA-HERZEGOVIN
Univision	6/16/14	2254	IRAN VS NIGERIA
Univision	6/16/14	2213	GERMANY VS PORTUGAL
Univision	6/16/14	4410	GHANA VS USA
Univision	6/17/14	1909	BELGIUM VS ALGERIA
Univision	6/17/14	2907	RUSSIA VS KOREA REPUBLIC
Univision	6/17/14	6172	BRAZIL VS MEXICO
Univision	6/18/14	3026	CAMEROON VS CROATIA
Univision	6/18/14	3097	SPAIN VS CHILE
Univision	6/18/14	1910	AUSTRALIA VS NETHERLANDS
Univision	6/19/14	2085	COLOMBIA VS IVORY COAST
Univision	6/19/14	2810	JAPAN VS GREECE
Univision	6/19/14	2569	URUGUAY VS ENGLAND
Univision	6/20/14	2055	ITALY VS COSTA RICA
Univision	6/20/14	2137	SWITZERLAND VS FRANCE
Univision	6/20/14	3291	HONDURAS VS ECUADOR
Univision	6/21/14	2466	ARGENTINA VS IRAN
Univision	6/21/14	2725	NIGERIA VS BOSNIA-HERZEGOVINA
Univision	6/21/14	2829	GERMANY VS GHANA
Univision	6/22/14	5954	USA VS PORTUGAL
Univision	6/22/14	2211	BELGIUM VS RUSSIA
Univision	6/22/14	2974	KOREA REPUBLIC VS ALGERIA
